花蓮縣,HWA,23.7569,121.3542
宜蘭縣,ILN,24.69295,121.7195
基隆市,KLU,25.10898,121.7081
新北市,NTC,24.91571,121.6739
臺北市,TPE,25.09108,121.5598
桃園縣,TYU,24.93759,121.2168
新竹縣,HSH,24.70328,121.1252
新竹市,HSC,24.80395,120.9647
苗栗縣,MAL,24.48927,120.9417
臺中市,TXG,24.23321,120.9417
彰化縣,CWH,23.99297,120.4818
南投縣,NTO,23.83876,120.9876
雲林縣,YUN,23.75585,120.3897
嘉義縣,CHY,23.45889,120.574
嘉義市,CYI,23.47545,120.4473
臺南市,TNN,23.1417,120.2513
高雄市,KHH,23.01087,120.666
屏東縣,PCH,22.54951,120.62
臺東縣,TTT,22.98461,120.9876
